"","block","id","race","gender","age","age_cat"
"738","15",4931,"W","M",50,"3"
"739","15",9136,"B","M",26,"2"
"740","15",9436,"B","M",27,"2"
"741","15",5951,"L","F",33,"2"
"742","15",10894,"B","M",33,"2"
"743","15",990,"W","F",45,"3"
"744","15",10871,"W","F",43,"3"
"745","15",1196,"W","M",31,"2"
"746","15",5326,"W","M",34,"2"
"747","15",934,"B","M",25,"2"
"748","15",4288,"W","M",51,"3"
"749","15",863,"W","M",40,"3"
"750","15",7807,"W","M",34,"2"
"751","16",2874,"B","M",33,"2"
"752","16",9632,"W","M",46,"3"
"753","16",9106,"W","F",32,"2"
"754","16",7037,"B","M",26,"2"
"755","16",6875,"W","M",22,"1"
"756","16",654,"W","M",33,"2"
"757","16",2291,"W","M",72,"3"
"758","16",9072,"B","M",37,"3"
"759","16",67,"B","M",35,"2"
"760","16",7051,"B","M",56,"3"
"761","16",4534,"B","F",32,"2"
"762","16",10659,"B","M",30,"2"
"763","16",7948,"B","M",27,"2"
"764","16",3674,"B","F",32,"2"
"765","16",533,"B","F",23,"1"
"766","16",4112,"B","M",21,"1"
"767","16",9914,"W","M",23,"1"
"768","16",692,"B","M",29,"2"
"769","16",6278,"B","F",30,"2"
"770","16",1787,"B","M",24,"1"
"771","16",8724,"B","M",42,"3"
"772","16",9942,"L","M",46,"3"
"773","16",6791,"B","M",57,"3"
"774","16",6432,"W","F",42,"3"
"775","16",4641,"W","F",35,"2"
"776","16",646,"L","M",48,"3"
"777","16",4518,"B","M",24,"1"
"778","16",5655,"W","F",25,"2"
"779","16",2054,"W","M",25,"2"
"780","16",8560,"W","M",47,"3"
"781","16",9506,"B","M",24,"1"
"782","16",6043,"W","M",50,"3"
"783","16",8867,"W","M",24,"1"
"784","16",7738,"W","M",32,"2"
"785","16",7903,"B","F",52,"3"
"786","16",5650,"B","M",28,"2"
"787","16",2382,"B","M",58,"3"
"788","16",1729,"B","M",39,"3"
"789","16",6264,"B","F",29,"2"
"790","16",2262,"B","M",23,"1"
"791","16",6503,"L","M",37,"3"
"792","16",2914,"B","M",29,"2"
"793","16",4408,"B","M",42,"3"
"794","16",4873,"B","F",27,"2"
"795","16",6481,"B","F",23,"1"
"796","16",5793,"B","F",36,"3"
"797","16",640,"B","M",20,"1"
"798","16",3438,"W","M",26,"2"
"799","16",10626,"W","M",46,"3"
"800","16",8479,"B","M",47,"3"
"801","17",6818,"W","F",51,"3"
"802","17",156,"W","M",24,"1"
"803","17",6056,"W","M",31,"2"
"804","17",2514,"B","M",35,"2"
"805","17",10920,"W","M",34,"2"
"806","17",3229,"W","M",26,"2"
"807","17",4596,"B","M",52,"3"
"808","17",2767,"W","M",67,"3"
"809","17",10536,"B","M",26,"2"
"810","17",8747,"W","M",25,"2"
"811","17",7615,"B","M",34,"2"
"812","17",2153,"B","M",22,"1"
"813","17",6911,"L","M",20,"1"
"814","17",8416,"B","F",24,"1"
"815","17",10997,"B","M",23,"1"
"816","17",222,"W","F",43,"3"
"817","17",2820,"W","M",66,"3"
"818","17",10010,"B","M",21,"1"
"819","17",2211,"B","M",24,"1"
"820","17",2448,"B","M",21,"1"
"821","17",7455,"B","M",22,"1"
"822","17",5515,"B","M",45,"3"
"823","17",5818,"B","M",23,"1"
"824","17",3676,"B","M",50,"3"
"825","17",2410,"L","F",33,"2"
"826","17",8970,"W","M",69,"3"
"827","17",10851,"B","F",29,"2"
"828","17",6606,"B","M",43,"3"
"829","17",5349,"W","M",20,"1"
"830","17",2930,"B","M",29,"2"
"831","17",4421,"B","F",53,"3"
"832","17",1562,"L","M",26,"2"
"833","17",5123,"B","M",31,"2"
"834","17",8191,"B","M",21,"1"
"835","17",9662,"W","M",56,"3"
"836","17",1004,"L","M",23,"1"
"837","17",8703,"W","F",61,"3"
"838","17",1526,"B","M",36,"3"
"839","17",3941,"W","M",37,"3"
"840","17",10577,"W","M",59,"3"
"841","17",1795,"L","F",22,"1"
"842","17",9170,"W","M",52,"3"
"843","17",4634,"W","M",27,"2"
"844","17",446,"B","F",21,"1"
"845","17",2618,"B","M",34,"2"
"846","17",6939,"W","M",62,"3"
"847","17",2772,"B","M",23,"1"
"848","17",3444,"W","M",44,"3"
"849","17",1153,"W","F",20,"1"
"850","17",1329,"W","M",22,"1"
"851","18",2053,"B","M",23,"1"
"852","18",2723,"B","M",25,"2"
"853","18",6766,"B","M",29,"2"
"854","18",9235,"W","M",56,"3"
"855","18",9219,"B","M",28,"2"
"856","18",8358,"B","F",21,"1"
"857","18",8501,"B","M",33,"2"
"858","18",4971,"B","M",19,"1"
"859","18",4164,"W","F",40,"3"
"860","18",4368,"L","M",22,"1"
"861","18",7269,"W","F",57,"3"
"862","18",4719,"W","M",29,"2"
"863","18",10645,"B","M",31,"2"
"864","18",3847,"B","M",22,"1"
"865","18",7411,"B","M",30,"2"
"866","18",400,"B","F",23,"1"
"867","18",8205,"W","M",41,"3"
"868","18",10841,"B","M",27,"2"
"869","18",2216,"B","M",44,"3"
"870","18",8832,"B","M",24,"1"
"871","18",2794,"W","M",27,"2"
"872","18",9277,"B","F",27,"2"
"873","18",10946,"B","M",27,"2"
"874","18",2613,"W","M",46,"3"
"875","18",364,"B","M",25,"2"
"876","18",9216,"W","M",66,"3"
"877","18",7930,"W","M",22,"1"
"878","18",9283,"W","M",40,"3"
"879","18",1397,"B","M",63,"3"
"880","18",2149,"B","M",33,"2"
"881","18",2515,"B","M",28,"2"
"882","18",2843,"W","M",39,"3"
"883","18",10899,"W","M",25,"2"
"884","18",5801,"W","M",51,"3"
"885","18",154,"W","F",39,"3"
"886","18",8518,"B","M",21,"1"
"887","18",6963,"W","F",49,"3"
"888","18",2206,"B","M",30,"2"
"889","18",8641,"W","M",77,"3"
"890","18",6537,"W","M",26,"2"
"891","18",2943,"W","M",42,"3"
"892","18",319,"W","M",56,"3"
"893","18",8041,"L","M",27,"2"
"894","18",4820,"B","M",62,"3"
"895","18",5646,"B","M",23,"1"
"896","18",8111,"B","M",27,"2"
"897","18",9868,"B","M",32,"2"
"898","18",1553,"L","M",51,"3"
"899","18",947,"W","F",23,"1"
"900","18",9636,"B","M",30,"2"
"901","19",1343,"L","M",24,"1"
"902","19",5669,"B","M",32,"2"
"903","19",1146,"B","M",26,"2"
"904","19",9221,"W","M",22,"1"
"905","19",2329,"B","M",25,"2"
"906","19",10277,"B","M",30,"2"
"907","19",6805,"B","M",22,"1"
"908","19",1576,"B","M",42,"3"
"909","19",10412,"W","M",49,"3"
"910","19",7298,"B","F",42,"3"
"911","19",10383,"B","M",27,"2"
"912","19",10336,"B","M",29,"2"
"913","19",101,"L","M",45,"3"
"914","19",2076,"B","M",30,"2"
"915","19",5754,"B","M",34,"2"
"916","19",6267,"W","F",51,"3"
"917","19",6094,"W","M",30,"2"
"918","19",10673,"B","F",29,"2"
"919","19",320,"B","M",38,"3"
"920","19",2809,"B","M",23,"1"
"921","19",4692,"W","M",47,"3"
"922","19",3751,"B","M",41,"3"
"923","19",3788,"W","M",39,"3"
"924","19",10302,"B","M",61,"3"
"925","19",837,"W","M",46,"3"
"926","19",7231,"B","M",37,"3"
"927","19",2589,"L","F",34,"2"
"928","19",5825,"B","M",24,"1"
"929","19",6744,"B","M",25,"2"
"930","19",7084,"W","F",24,"1"
"931","19",2100,"W","M",44,"3"
"932","19",3019,"W","M",50,"3"
"933","19",10334,"B","M",20,"1"
"934","19",3656,"B","M",22,"1"
"935","19",10699,"B","M",57,"3"
"936","19",4833,"W","M",25,"2"
"937","19",7631,"W","M",22,"1"
"938","19",6420,"B","M",24,"1"
"939","19",5760,"W","M",38,"3"
"940","19",787,"L","M",30,"2"
"941","19",8530,"L","M",45,"3"
"942","19",1240,"B","M",29,"2"
"943","19",8149,"W","M",27,"2"
"944","19",1532,"L","M",59,"3"
"945","19",10544,"W","M",67,"3"
"946","19",5177,"L","M",37,"3"
"947","19",2504,"W","M",22,"1"
"948","19",7334,"B","M",26,"2"
"949","19",2128,"B","M",26,"2"
"950","19",6389,"W","F",29,"2"
"951","20",9442,"B","M",25,"2"
"952","20",4809,"W","F",39,"3"
"953","20",8207,"W","M",31,"2"
"954","20",1283,"B","M",21,"1"
"955","20",3511,"W","M",23,"1"
"956","20",4774,"W","M",61,"3"
"957","20",10012,"B","F",24,"1"
"958","20",10377,"W","M",41,"3"
"959","20",9581,"B","F",23,"1"
"960","20",9875,"B","M",31,"2"
"961","20",3919,"A","M",46,"3"
"962","20",1331,"B","M",23,"1"
"963","20",7023,"W","M",25,"2"
"964","20",6315,"B","M",30,"2"
"965","20",5103,"L","M",30,"2"
"966","20",10289,"W","M",36,"3"
"967","20",1215,"L","M",83,"3"
"968","20",3285,"B","M",46,"3"
"969","20",3273,"B","M",21,"1"
"970","20",2310,"B","M",28,"2"
"971","20",3869,"B","M",26,"2"
"972","20",3205,"W","M",49,"3"
"973","20",203,"B","F",24,"1"
"974","20",9337,"W","M",44,"3"
"975","20",173,"B","M",33,"2"
"976","20",5877,"B","M",35,"2"
"977","20",3236,"B","M",29,"2"
"978","20",9165,"B","M",26,"2"
"979","20",6391,"B","M",24,"1"
"980","20",4553,"L","M",34,"2"
"981","20",6788,"B","M",61,"3"
"982","20",5997,"W","M",24,"1"
"983","20",10068,"W","M",22,"1"
"984","20",8876,"B","M",29,"2"
"985","20",2507,"B","M",28,"2"
"986","20",9473,"B","M",38,"3"
"987","20",2934,"B","M",25,"2"
"988","20",3679,"W","F",47,"3"
"989","20",1670,"B","M",23,"1"
"990","20",5297,"B","F",30,"2"
"991","20",1216,"W","M",28,"2"
"992","20",10394,"B","M",30,"2"
"993","20",5001,"B","M",23,"1"
"994","20",7923,"W","M",68,"3"
"995","20",7722,"B","F",23,"1"
"996","20",7153,"B","M",21,"1"
"997","20",10720,"B","M",22,"1"
"998","20",7975,"W","M",23,"1"
"999","20",7945,"W","M",26,"2"
"1000","20",4536,"W","F",44,"3"
